Entity ID,Entity Type,Canonical Name,Country,Parent Entity ID,Status
VESSEL_00149,Vessel,SAWASDEE CAPELLA,,COMP_SINOKOR,Operating
VESSEL_00150,Vessel,SAWASDEE RIGEL,,COMP_SINOKOR,Operating
VESSEL_00151,Vessel,SAWASDEE ALTAIR,,COMP_SINOKOR,Operating
VESSEL_00152,Vessel,SAWASDEE SPICA,,COMP_SINOKOR,Operating
VESSEL_00153,Vessel,SAWASDEE DENEB,,COMP_SINOKOR,Operating
VESSEL_00154,Vessel,YEOSU VOYAGER,Panama,COMP_SINOKOR,Operating
VESSEL_00155,Vessel,INCHEON VOYAGER,Panama,COMP_SINOKOR,Operating
VESSEL_00156,Vessel,ULSAN VOYAGER,Panama,COMP_SINOKOR,Operating
VESSEL_00157,Vessel,SAWASDEE MIMOSA,,COMP_SINOKOR,Operating
VESSEL_00158,Vessel,TOYAMA TRADER,,COMP_SINOKOR,Operating
VESSEL_00159,Vessel,KWANGYANG VOYAGER,Panama,COMP_SINOKOR,Operating
VESSEL_00160,Vessel,AKITA TRADER,Liberia,COMP_SINOKOR,Operating
VESSEL_00161,Vessel,MELBOURNE BRIDGE,Liberia,COMP_SINOKOR,Operating
VESSEL_00162,Vessel,SYDNEY BRIDGE,,COMP_SINOKOR,Operating
VESSEL_00163,Vessel,MOJI EXPRESS,,COMP_SINOKOR,Operating
VESSEL_00164,Vessel,Asia Excellence,,COMP_CHEVRON,Operating
VESSEL_00165,Vessel,P. Long Beach,,COMP_PERFORMANCE_SHIPPING,Operating / chartered
VESSEL_00166,Vessel,Largo Eagle,,,Operating / cargo booking
VESSEL_00167,Vessel,Nord Ventura,,,Operating / cargo booking
VESSEL_00168,Vessel,Rex Tillerson,,,Operating / delivered 2024
VESSEL_00169,Vessel,CAPT. KATTELMANN,Malta,,Operating
VESSEL_00170,Vessel,ATHENA,St Vincent & Grenadines,,Operating
VESSEL_00171,Vessel,GFS GALAXY,Cyprus,,Damaged / post-incident assessment
VESSEL_00172,Vessel,GFS GENESIS,Singapore,,Operating
VESSEL_00173,Vessel,GFS PRECIOUS,Singapore,,Operating
VESSEL_00174,Vessel,GFS GISELLE,Singapore,,Operating
VESSEL_00175,Vessel,GFS RUBY,Singapore,,Operating
VESSEL_00176,Vessel,GFS PRESTIGE,Singapore,,Operating
VESSEL_00177,Vessel,GFS PRIDE,Singapore,,Operating
VESSEL_00178,Vessel,GFS RANNA,St Vincent & Grenadines,,Operating
VESSEL_00179,Vessel,GFS JADE,St Vincent & Grenadines,,Operating
VESSEL_00180,Vessel,GFS PERFECT,Singapore,,Operating
VESSEL_00181,Vessel,GFS PEARL,Cyprus,,Operating
VESSEL_00182,Vessel,GFS JUNO,St Vincent & Grenadines,,Operating
VESSEL_00183,Vessel,GFS PRIME,Cyprus,,Operating
VESSEL_00184,Vessel,GFS SAPPHIRE,Malta,,Operating
VESSEL_00185,Vessel,SIGYN W,,,Operating / schedule-observed
VESSEL_00186,Vessel,KOI,,,Operating / schedule-observed
VESSEL_00187,Vessel,CMA CGM AMBER,,,Operating / schedule-observed
VESSEL_00188,Vessel,CMA CGM SORBONNE,,,Operating / schedule-observed
VESSEL_00189,Vessel,CMA CGM MEKONG,,,Operating / schedule-observed
VESSEL_00190,Vessel,MSC UTMOST VIII,,,Operating / schedule-observed
VESSEL_00191,Vessel,MSC TARA III,,,Operating / schedule-observed
VESSEL_00192,Vessel,MSC KAYLA,,,Operating / schedule-observed
VESSEL_00193,Vessel,MSC JENNY II,,,Operating / schedule-observed
VESSEL_00194,Vessel,MSC SHANGHAI V,,,Operating / schedule-observed
VESSEL_00195,Vessel,MAERSK SANA,,,Operating / schedule-observed
VESSEL_00196,Vessel,MAERSK STOCKHOLM,,,Operating / schedule-observed
VESSEL_00197,Vessel,ADRIAN MAERSK,,,Operating / schedule-observed
VESSEL_00198,Vessel,BSG BONAIRE,,,Operating / schedule-observed
VESSEL_00199,Vessel,AS SIMONE,,,Operating / schedule-observed
VESSEL_00200,Vessel,XIN FEI ZHOU,,,Operating / schedule-observed
VESSEL_00201,Vessel,XIN TAI CANG,,,Operating / schedule-observed
VESSEL_00202,Vessel,SEASMILE,,,Operating / schedule-observed
VESSEL_00203,Vessel,HANSA BREITENBURG,,,Operating / schedule-observed
VESSEL_00204,Vessel,SMC COLUMBUS,,,Operating / schedule-observed
VESSEL_00205,Vessel,EVER FAR,,,Operating / schedule-observed
VESSEL_00206,Vessel,EVER BEFIT,,,Operating / schedule-observed
VESSEL_00207,Vessel,EVER LINKING,,,Operating / schedule-observed
VESSEL_00208,Vessel,EVER MEMO,,,Operating / schedule-observed
VESSEL_00209,Vessel,NORTHERN PRACTISE,,,Operating / schedule-observed
VESSEL_00210,Vessel,VALPARAISO EXPRESS,,,Operating / schedule-observed
VESSEL_00211,Vessel,SALERNO EXPRESS,,,Operating / schedule-observed
VESSEL_00212,Vessel,CARTAGENA EXPRESS,,,Operating / schedule-observed
VESSEL_00213,Vessel,DAMIETTA EXPRESS,,,Operating / schedule-observed
VESSEL_00214,Vessel,AL NASRIYAH,,,Operating / schedule-observed
VESSEL_00215,Vessel,NYK FUJI,,,Operating / schedule-observed
VESSEL_00216,Vessel,ONE SPHERE,,,Operating / schedule-observed
VESSEL_00217,Vessel,NYK VENUS,,,Operating / schedule-observed
VESSEL_00218,Vessel,ONE MODERN,,,Operating / schedule-observed
VESSEL_00219,Vessel,ONE MILLAU,,,Operating / schedule-observed
VESSEL_00220,Vessel,IBN AL ABBAR,,,Operating / schedule-observed
VESSEL_00221,Vessel,YM CAPACITY,,,Operating / schedule-observed
VESSEL_00222,Vessel,YM INCEPTION,,,Operating / schedule-observed
VESSEL_00223,Vessel,YM EXCELLENCE,,,Operating / schedule-observed
VESSEL_00224,Vessel,YM IMMENSE,,,Operating / schedule-observed
VESSEL_00225,Vessel,HMM VANCOUVER,,,Operating / schedule-observed
VESSEL_00226,Vessel,HMM EMERALD,,,Operating / schedule-observed
VESSEL_00227,Vessel,HMM HARMONY,,,Operating / schedule-observed
VESSEL_00228,Vessel,SKY RAINBOW,,,Operating / schedule-observed
VESSEL_00229,Vessel,HMM SKY,,,Operating / schedule-observed
VESSEL_00230,Vessel,KOTA SANTOS,,,Operating / schedule-observed
VESSEL_00231,Vessel,KOTA SABAS,,,Operating / schedule-observed
VESSEL_00232,Vessel,KOTA GAYA,,,Operating / schedule-observed
VESSEL_00233,Vessel,SINAR PANGANDARAN,,,Operating / schedule-observed
VESSEL_00234,Vessel,KOTA SEMPENA,,,Operating / schedule-observed
VESSEL_00235,Vessel,WAN HAI 283,,,Operating / schedule-observed
VESSEL_00236,Vessel,WAN HAI 358,,,Operating / schedule-observed
VESSEL_00237,Vessel,WAN HAI 177,,,Operating / schedule-observed
VESSEL_00238,Vessel,WAN HAI 333,,,Operating / schedule-observed
VESSEL_00239,Vessel,WAN HAI 101,,,Operating / schedule-observed
VESSEL_00240,Vessel,ZIM EMERALD,,,Operating / schedule-observed
VESSEL_00241,Vessel,CARMEL I,,,Operating / schedule-observed
VESSEL_00242,Vessel,MARLA BULL,,,Operating / schedule-observed
VESSEL_00243,Vessel,ZIM CHINA,,,Operating / schedule-observed
VESSEL_00244,Vessel,MTT SANDAKAN,,,Operating / schedule-observed
VESSEL_00245,Vessel,MARBURG,,,Operating / schedule-observed
VESSEL_00246,Vessel,ELBSKY,,,Operating / schedule-observed
VESSEL_00247,Vessel,JUDITH,,,Operating / schedule-observed
VESSEL_00248,Vessel,ELBSUMMER,,,Operating / schedule-observed
VESSEL_00249,Vessel,SAN PEDRO,,,Operating / schedule-observed
VESSEL_00250,Vessel,REN JIAN 8,,,Operating / schedule-observed
VESSEL_00251,Vessel,ZHONG GU YIN CHUAN,,,Operating / schedule-observed
VESSEL_00252,Vessel,MARINA VOYAGER,,,Operating / schedule-observed
